type,percentage of users
finding information,60.9
staying in touch with friends and family,56.6
keeping up to date with news and events,51.9
watching videos or movies,52.3
researching how to do things,49.4
finding new ideas or inspiration,46.1
researching products and brands,43.7
accessing and listening to music,45.1
filling up spare time and general browsing,42.6
education and study-related purposes,38.8
researching places and vacations and travel,37.9
researching health issues and healthcare products,35.2
managing finances and savings,34.2
gaming,29.3
business-related research,29.9
